iter	Passed	Remaining
797	37858	9583
798	37910	9536
799	37949	9487
800	37985	9437
801	38017	9385
802	38058	9336
803	38095	9286
804	38153	9242
805	38215	9198
806	38302	9160
807	38408	9126
808	38519	9094
809	38572	9047
810	38632	9003
811	38680	8955
812	38724	8907
813	38773	8859
814	38860	8821
815	38949	8782
816	39021	8740
817	39067	8692
818	39153	8652
819	39211	8607
820	39269	8561
821	39342	8519
822	39446	8483
823	39514	8439
824	39575	8394
825	39621	8346
826	39673	8299
827	39727	8252
828	39793	8208
829	39849	8161
830	39901	8114
831	39953	8067
832	39993	8017
833	40040	7969
834	40092	7922
835	40144	7875
836	40202	7829
837	40246	7780
838	40285	7730
839	40332	7682
840	40383	7634
841	40434	7587
842	40474	7537
843	40526	7490
844	40579	7443
845	40642	7398
846	40696	7351
847	40747	7303
848	40786	7254
849	40828	7205
850	40896	7160
851	40960	7115
852	41026	7070
853	41092	7025
854	41145	6977
855	41194	6929
856	41236	6880
857	41278	6831
858	41323	6783
859	41379	6736
860	41482	6696
861	41580	6656
862	41739	6626
863	41886	6593
864	41944	6546
865	42006	6499
866	42060	6452
867	42105	6403
868	42144	6353
869	42192	6304
870	42240	6256
871	42279	6206
872	42320	6156
873	42384	6110
874	42492	6070
875	42572	6026
876	42618	5977
877	42666	5928
878	42707	5879
879	42751	5829
880	42803	5781
881	42860	5734
882	42916	5686
883	42987	5640
884	43037	5592
885	43091	5544
886	43128	5494
887	43167	5444
888	43205	5394
889	43250	5345
890	43293	5296
891	43336	5247
892	43385	5198
893	43446	5151
894	43488	5102
895	43536	5053
896	43598	5006
897	43666	4959
898	43728	4912
899	43768	4863
900	43810	4813
901	43861	4765
902	43913	4717
903	43979	4670
904	44019	4620
905	44063	4571
906	44114	4523
907	44198	4478
908	44255	4430
909	44290	4380
910	44333	4331
911	44381	4282
912	44444	4235
913	44507	4187
914	44556	4139
915	44616	4091
916	44687	4044
917	44739	3996
918	44797	3948
919	44853	3900
920	44900	3851
921	44946	3802
922	44996	3753
923	45078	3707
924	45175	3662
925	45280	3618
926	45338	3570
927	45384	3521
928	45428	3471
929	45469	3422
930	45517	3373
931	45569	3324
932	45637	3277
933	45688	3228
934	45740	3179
935	45781	3130
936	45825	3081
937	45868	3031
938	45958	2985
939	46086	2941
940	46156	2894
941	46208	2845
942	46250	2795
943	46291	2746
944	46346	2697
945	46436	2650
946	46534	2604
947	46599	2556
948	46642	2506
949	46673	2456
950	46707	2406
951	46742	2356
952	46778	2307
953	46825	2257
954	46875	2208
955	46943	2160
956	47002	2111
957	47063	2063
958	47110	2014
959	47146	1964
960	47179	1914
961	47216	1865
962	47259	1815
963	47301	1766
964	47349	1717
965	47402	1668
966	47460	1619
967	47505	1570
968	47552	1521
969	47593	1471
970	47631	1422
971	47669	1373
972	47704	1323
973	47740	1274
974	47778	1225
975	47826	1176
976	47873	1127
977	47922	1078
978	47980	1029
979	48033	980
980	48077	931
981	48121	882
982	48168	833
983	48206	783
984	48240	734
985	48271	685
986	48336	636
987	48438	588
988	48577	540
989	48662	491
990	48744	442
991	48799	393
992	48836	344
993	48893	295
994	48963	246
995	49027	196
996	49070	147
997	49116	98
998	49187	49
999	49256	0
